      1024 ,        8 ,     8.4500 ,  83.89
      1024 ,       32 ,     6.1776 ,  83.79
      1024 ,       64 ,     2.2286 ,  82.62
      1024 ,      128 ,    11.1459 ,  85.55
      1024 ,      256 ,     8.3595 ,  83.40
      4096 ,        8 ,    33.8266 ,  83.37
      4096 ,       32 ,    35.7442 ,  83.72
      4096 ,       64 ,    35.0493 ,  83.94
      4096 ,      128 ,    40.9469 ,  83.20
      4096 ,      256 ,    37.1877 ,  83.98
     16384 ,        8 ,   159.6010 ,  84.05
     16384 ,       32 ,   132.2997 ,  83.75
     16384 ,       64 ,   149.3582 ,  83.72
     16384 ,      128 ,    93.0571 ,  84.14
     16384 ,      256 ,   128.3852 ,  83.87
     65536 ,        8 ,   350.8652 ,  83.77
     65536 ,       32 ,   573.9910 ,  83.82
     65536 ,       64 ,   572.7069 ,  83.76
     65536 ,      128 ,   492.4261 ,  83.85
     65536 ,      256 ,   491.9529 ,  83.78
    262144 ,        8 ,   797.9739 ,  83.78
    262144 ,       32 ,  1586.3671 ,  83.91
    262144 ,       64 ,  1261.0837 ,  83.88
    262144 ,      128 ,  1403.4607 ,  83.84
    262144 ,      256 ,  1953.2667 ,  83.73
   1048576 ,        8 ,  1110.2151 ,  83.80
   1048576 ,       32 ,  2787.1055 ,  83.84
   1048576 ,       64 ,  3732.5438 ,  83.76
   1048576 ,      128 ,  4460.6588 ,  83.84
   1048576 ,      256 ,  4222.1362 ,  83.76
   2097152 ,        8 ,  1171.6666 ,  83.79
   2097152 ,       32 ,  3507.0369 ,  83.84
   2097152 ,       64 ,  4700.2798 ,  83.80
   2097152 ,      128 ,  5731.1761 ,  83.85
   2097152 ,      256 ,  5399.2422 ,  83.84
