    4096 ,      8 ,     177.84
    4096 ,     32 ,     166.21
    4096 ,     64 ,     176.63
    4096 ,    128 ,     124.56
    4096 ,    256 ,     180.76
   16384 ,      8 ,     607.92
   16384 ,     32 ,     751.28
   16384 ,     64 ,     720.37
   16384 ,    128 ,     717.53
   16384 ,    256 ,     715.11
   65536 ,      8 ,    1495.67
   65536 ,     32 ,    2433.30
   65536 ,     64 ,    1963.74
   65536 ,    128 ,    2410.74
   65536 ,    256 ,    2644.50
  262144 ,      8 ,    1286.31
  262144 ,     32 ,    1855.72
  262144 ,     64 ,    1808.58
  262144 ,    128 ,    1732.93
  262144 ,    256 ,    1589.77
 1048576 ,      8 ,    2288.65
 1048576 ,     32 ,    3547.05
 1048576 ,     64 ,    3455.31
 1048576 ,    128 ,    3605.77
 1048576 ,    256 ,    3484.89
 4194304 ,      8 ,    2263.67
 4194304 ,     32 ,    6557.11
 4194304 ,     64 ,    6635.33
 4194304 ,    128 ,    6719.26
 4194304 ,    256 ,    6644.38
